location,start,end,age,activity,tagID
Outside-Unknown,2017-06-21 11:52:44.350,2017-06-21 11:53:28.350,0,undefined,1230
Outside-Unknown,2017-06-21 11:53:28.350,2017-06-21 11:53:51.250,0,undefined,1230
Outside,2017-06-21 11:53:51.250,2017-06-21 11:56:31.750,0,outside-short,1230
Unknown-Inside,2017-06-21 11:56:31.750,2017-06-21 11:57:18.350,0,undefined,1230
Inside,2017-06-21 11:57:18.350,2017-06-21 11:57:38.400,0,inside,1230
Outside-Unknown,2017-06-21 11:57:38.400,2017-06-21 11:57:50.550,0,undefined,1230
Outside,2017-06-21 11:57:50.550,2017-06-21 11:58:36.400,0,outside-short,1230
Unknown-Inside,2017-06-21 11:58:36.400,2017-06-21 11:58:52.500,0,undefined,1230
Unknown-Inside,2017-06-21 11:58:52.500,2017-06-21 11:59:17.150,0,undefined,1230
Inside,2017-06-21 11:59:17.150,2017-06-21 12:00:00.000,0,inside,1230
Outside-Unknown,2017-06-21 12:00:00.000,2017-06-21 12:00:20.500,0,undefined,1230
Outside,2017-06-21 12:00:20.500,2017-06-21 12:00:33.550,0,outside-short,1230
Inside,2017-06-21 12:00:33.550,2017-06-21 12:01:10.450,0,inside,1230
Outside,2017-06-21 12:01:10.450,2017-06-21 12:02:20.000,0,outside-short,1230
Unknown-Inside,2017-06-21 12:02:20.000,2017-06-21 12:02:37.750,0,undefined,1230
Inside,2017-06-21 12:02:37.750,2017-06-21 12:02:56.050,0,inside,1230
Outside-Unknown,2017-06-21 12:02:56.050,2017-06-21 12:03:26.600,0,undefined,1230
Outside-Unknown,2017-06-21 12:03:26.600,2017-06-21 12:03:43.700,0,undefined,1230
Outside,2017-06-21 12:03:43.700,2017-06-21 12:04:21.350,0,outside-short,1230
Inside,2017-06-21 12:04:21.350,2017-06-21 12:05:42.250,0,inside,1230
Outside-Unknown,2017-06-21 12:05:42.250,2017-06-21 12:06:06.000,0,undefined,1230
Outside-Unknown,2017-06-21 12:06:06.000,2017-06-21 12:06:31.050,0,undefined,1230
Outside-Unknown,2017-06-21 12:06:31.050,2017-06-21 12:07:56.650,0,undefined,1230
Outside,2017-06-21 12:07:56.650,2017-06-21 12:10:31.800,0,outside-short,1230
Inside,2017-06-21 12:10:31.800,2017-06-21 12:10:47.300,0,inside,1230
Outside,2017-06-21 12:10:47.300,2017-06-21 12:11:08.650,0,outside-short,1230
Unknown-Inside,2017-06-21 12:11:08.650,2017-06-21 12:12:12.800,0,undefined,1230
Inside,2017-06-21 12:12:12.800,2017-06-21 12:12:33.950,0,inside,1230
Outside-Unknown,2017-06-21 12:12:33.950,2017-06-21 12:12:44.000,0,undefined,1230
Outside-Unknown,2017-06-21 12:12:44.000,2017-06-21 12:13:29.200,0,undefined,1230
Outside,2017-06-21 12:13:29.200,2017-06-21 12:13:54.750,0,outside-short,1230
Unknown-Inside,2017-06-21 12:13:54.750,2017-06-21 12:14:25.950,0,undefined,1230
Inside,2017-06-21 12:14:25.950,2017-06-21 12:14:48.700,0,inside,1230
Outside-Unknown,2017-06-21 12:14:48.700,2017-06-21 12:15:53.950,0,undefined,1230
Outside-Unknown,2017-06-21 12:15:53.950,2017-06-21 12:16:56.550,0,undefined,1230
Outside-Unknown,2017-06-21 12:16:56.550,2017-06-21 12:17:24.600,0,undefined,1230
Outside,2017-06-21 12:17:24.600,2017-06-21 12:17:53.450,0,outside-short,1230
Inside,2017-06-21 12:17:53.450,2017-06-21 12:18:28.350,0,inside,1230
Outside,2017-06-21 12:18:28.350,2017-06-21 12:20:39.300,0,outside-short,1230
Unknown-Inside,2017-06-21 12:20:39.300,2017-06-21 12:20:53.600,0,undefined,1230
Inside,2017-06-21 12:20:53.600,2017-06-21 12:22:36.500,0,inside,1230
Outside-Unknown,2017-06-21 12:22:36.500,2017-06-21 12:23:00.350,0,undefined,1230
Outside,2017-06-21 12:23:00.350,2017-06-21 12:23:28.100,0,outside-short,1230
Inside,2017-06-21 12:23:28.100,2017-06-21 12:24:04.000,0,inside,1230
Outside,2017-06-21 12:24:04.000,2017-06-21 12:24:26.550,0,outside-short,1230
Inside,2017-06-21 12:24:26.550,2017-06-21 12:25:00.700,0,inside,1230
Outside,2017-06-21 12:25:00.700,2017-06-21 12:26:17.750,0,outside-short,1230
Unknown-Inside,2017-06-21 12:26:17.750,2017-06-21 12:26:39.600,0,undefined,1230
Unknown-Inside,2017-06-21 12:26:39.600,2017-06-21 12:26:51.850,0,undefined,1230
Unknown-Inside,2017-06-21 12:26:51.850,2017-06-21 12:27:14.050,0,undefined,1230
Unknown-Inside,2017-06-21 12:27:14.050,2017-06-21 12:27:33.800,0,undefined,1230
Inside,2017-06-21 12:27:33.800,2017-06-21 12:28:02.000,0,inside,1230
Outside,2017-06-21 12:28:02.000,2017-06-21 12:28:30.050,0,outside-short,1230
Inside,2017-06-21 12:28:30.050,2017-06-21 12:29:10.600,0,inside,1230
Outside,2017-06-21 12:29:10.600,2017-06-21 12:29:50.550,0,outside-short,1230
Inside,2017-06-21 12:29:50.550,2017-06-21 12:30:04.150,0,inside,1230
Outside-Unknown,2017-06-21 12:30:04.150,2017-06-21 12:30:36.400,0,undefined,1230
Outside,2017-06-21 12:30:36.400,2017-06-21 12:31:13.000,0,outside-short,1230
Unknown-Inside,2017-06-21 12:31:13.000,2017-06-21 12:31:55.850,0,undefined,1230
Unknown-Inside,2017-06-21 12:31:55.850,2017-06-21 12:32:14.800,0,undefined,1230
Unknown-Inside,2017-06-21 12:32:14.800,2017-06-21 12:32:39.600,0,undefined,1230
Inside,2017-06-21 12:32:39.600,2017-06-21 12:33:09.150,0,inside,1230
Outside-Unknown,2017-06-21 12:33:09.150,2017-06-21 12:33:26.950,0,undefined,1230
Outside,2017-06-21 12:33:26.950,2017-06-21 12:33:51.300,0,outside-short,1230
Inside,2017-06-21 12:33:51.300,2017-06-21 12:34:20.450,0,inside,1230
Outside-Unknown,2017-06-21 12:34:20.450,2017-06-21 12:34:42.500,0,undefined,1230
Outside-Unknown,2017-06-21 12:34:42.500,2017-06-21 12:35:10.800,0,undefined,1230
Outside-Unknown,2017-06-21 12:35:10.800,2017-06-21 12:35:25.350,0,undefined,1230
Outside-Unknown,2017-06-21 12:35:25.350,2017-06-21 12:36:23.200,0,undefined,1230
Outside-Unknown,2017-06-21 12:36:23.200,2017-06-21 12:40:27.350,0,undefined,1230
Outside-Unknown,2017-06-21 12:40:27.350,2017-06-21 12:40:39.600,0,undefined,1230
Outside-Unknown,2017-06-21 12:40:39.600,2017-06-21 12:41:04.100,0,undefined,1230
Outside,2017-06-21 12:41:04.100,2017-06-21 12:41:17.050,0,outside-short,1230
